estimated_rows,detected_rows,estimated_cells,detected_cells,estimated_missing_percent,low_confidence_count,needs_verification_percent,page_num
123,123,2091,790,62.2,19,2.4,202
102,80,1734,776,55.2,13,1.7,203
101,79,1717,762,55.6,17,2.2,204
120,76,2640,269,89.8,23,8.6,205
101,74,1919,764,60.2,15,2.0,206
102,66,1836,722,60.7,19,2.6,207
101,16,1818,195,89.3,2,1.0,208
101,44,1717,577,66.4,12,2.1,209
102,15,1836,170,90.7,5,2.9,210
120,108,1920,779,59.4,31,4.0,211
101,85,1616,733,54.6,21,2.9,212
102,66,1530,562,63.3,16,2.8,213
102,35,1734,233,86.6,6,2.6,214
101,62,1818,795,56.3,19,2.4,215
101,36,1818,446,75.5,7,1.6,216
101,37,1717,450,73.8,10,2.2,217
102,11,1836,105,94.3,7,6.7,218
123,123,2214,747,66.3,28,3.7,219
102,99,1734,744,57.1,23,3.1,220
101,71,1616,625,61.3,16,2.6,221
119,57,1309,249,81.0,20,8.0,222
119,72,1309,432,67.0,36,8.3,223
119,40,1190,123,89.7,13,10.6,224
119,91,1190,658,44.7,39,5.9,225
120,55,720,148,79.4,21,14.2,226
120,98,1320,509,61.4,48,9.4,227
120,44,1320,102,92.3,23,22.5,228
