Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page,Column_18,Column_19,Column_20,Column_21
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
,,,57,17,115,358,205,134,145,162,1si,201,213,236,264,278,,3,,,,
,,,54 57,129,48,384,166,94,109,123,137,153,170,188,213,262,,3,,,,
,,,56,28,,729,247,123,145,162,183,201,227,290,315,430,,3,,,,
,,,57,26,77 77,301,,97,105,116,123,134,145,162,201,250,,3,,,,
,,,57,54,77,729,200,100,117,130,145,167,188,222,268,327,,3,,,,
,,,37,25,,,125,,,,,,,,,,,3,,,,
,,,,,45,322,,65,76,94,105,123,130,141,154,201,,3,,,,
,,,57,26,28,228,97,57,61,,,92,100,105,1253,145,,3,,,,
,SAN,,57,21,45,132,73 73,49,52,55,62,69,74,79,86,105,,3,,,,
,NORFOLK VA,,57,25,60,168,,83,89,101,107,112,116,,130,154,,3,,,,
,,,57,26,50,232,101,60,67,74,89,96,103,,130,145,,3,,,,
,CHARLESTON VA,,53,,101,764,296,,,,,,,,,,,3,,,,
,,,,,,,,105,105,,,117,123,123,627,627,,3,,,,
,,,54,,63,561,274,83,,152,1712,236,315,385,453,533,,3,,,,
,,,53 54,6,63,764,277,B89,108,120,158,224,315,385,480,,,3,,,,
,,2154,,,,,,,,,,,,,,,,3,,,,
,,,54,9,58,S77,238,65,83,89,123,145,145,,327,533,,3,,,,
,,,,32,67,793,292,73,89,134,171,294,337,366,430,,,3,,,,
,,,56,23,60,696,255,76,101,123,154,201,303,346,385,493,,3,,,,
,,,,,44,655,207,58,76,85,97,123,186,278,385,493,,3,,,,
,,,54 57,87,44,793,254,71,85,105,136,191,296,350,414,506,,3,,,,
,,,53,,101,764,296,105,105,,111,117,123,123,627,627,,3,,,,
,,,54,39,58,S77,265,79,105,123,165,236,30,356,453,,,3,,,,
,,,55,32,67,793,292,73,89,134,171,294,337,366,430,,,3,,,,
,,,56,23,60,696,255,76,101,123,154,201,303,346,385,493,,3,,,,
,,,57,23,44,655,207,58,76,85,,123,186,278,385,493,,3,,,,
,,,53 57,123,44,793,261,73,93,113,142,210,303,356,426,,,3,,,,
,VA,,56,i1,96,419,180,94,100,105,123,145,158,171,236,385,,3,,,,
,,,57,25,137,344,201,148,154,162,168,191,207,224,236,303,,3,,,,
,,,56,36,96,419,195,123,140,,159,169,201,216,236,303,,3,,,,
,,,,,,,,65,,89,100,117,145,161,171,201,,3,,,,
,,,53,,69,377,isi,76,76,89,89,105,105,145,145,,,3,,,,
,,,54,44,35,153,78,44,52,56,64,72,85,96,103,123,,3,,,,
,,1755,55,44,33,172,101,67,,83,91,96,101,,123,152,,3,,,,
,,,56,38,31,171,92,58,67,70,74,85,101,113,120,136,,3,,,,
,,,57,26,34,168,79,55,62,68,71,76,83,87,97,105,,3,,,,
,,,53 57,157,31,377,91,52,63,70,76,86,94,102,115,137,,3,,,,
,MIAMI FLA,,,25,,106,63,44,49,53,56,60,63,71,79,39,,4,,,,
,,,,2,98,126,,,,105,105,105,105,105,145,145,,4,,,,
,ATLANTA GA,,53,42,55,261,141,,100,114,125,135,145,160,183,2153,,4,,,,
,,,54,,,,,,,,,,,,,,,4,,,,
,,,,75,65,421,142,92,98,105,119,132,143,160,179,211,,4,,,,
,,,56,34,62,319,153,79,89,108,118,130,150,171,213,278,,4,,,,
,,,57,26,50,228,105,65,80,,89,97,105,112,123,154,,4,,,,
,,,57,179,50,4211138 421,138,83,94,103,114,126,140,156,175,214,,4,,,,
,,,54,8,31,101,59,32,34,34,40,55,65,76,76,97,,4,,,,
